candidates,similarity
"acquired(company,company),teamalsoknownas(sportsteam,sportsteam)",4.567171573638916
"acquired(company,company),teamplaysagainstteam(sportsteam,sportsteam)",5.071127414703369
"acquired(company,company),teamplaysinleague(sportsteam,sportsleague)",5.1992621421813965
"acquired(company,company),athleteplaysforteam(athlete,sportsteam)",5.277993679046631
"acquired(company,company),athleteplaysinleague(athlete,sportsleague)",5.359370231628418
"acquired(company,company),athleteplayssport(athlete,sport)",5.373129367828369
"acquired(company,company),athleteledsportsteam(athlete,sportsteam)",5.462646007537842
