candidates,similarity
"economicsectorcompany(`sector,company),teamalsoknownas(sportsteam,sportsteam)",4.749370574951172
"economicsectorcompany(`sector,company),teamplaysagainstteam(sportsteam,sportsteam)",5.2979936599731445
"economicsectorcompany(`sector,company),teamplaysinleague(sportsteam,sportsleague)",5.356081485748291
"economicsectorcompany(`sector,company),athleteplaysforteam(athlete,sportsteam)",5.551599979400635
"economicsectorcompany(`sector,company),athleteledsportsteam(athlete,sportsteam)",5.561461925506592
"economicsectorcompany(`sector,company),athleteplaysinleague(athlete,sportsleague)",5.601840019226074
"economicsectorcompany(`sector,company),athleteplayssport(athlete,sport)",5.603054046630859
