candidates,similarity
"companyalsoknownas(company,company),teamalsoknownas(sportsteam,sportsteam)",1.6596447229385376
"companyalsoknownas(company,company),teamplaysagainstteam(sportsteam,sportsteam)",4.553893089294434
"companyalsoknownas(company,company),teamplaysinleague(sportsteam,sportsleague)",4.6937031745910645
"companyalsoknownas(company,company),athleteplaysforteam(athlete,sportsteam)",4.744509220123291
"companyalsoknownas(company,company),athleteledsportsteam(athlete,sportsteam)",4.880950927734375
"companyalsoknownas(company,company),athleteplaysinleague(athlete,sportsleague)",4.912872314453125
"companyalsoknownas(company,company),athleteplayssport(athlete,sport)",4.923108100891113
